parcel_number,address,tokens,tags
561-0012-0411-00,189 G1 TIMEPIECE LN,189|G1|TIMEPIECE|LN|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
600-0360-0141-00,1895 4-8 CHAUCER DR,1895|4-8|CHAUCER|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
201-0041-0094-00,1899 WESTWOOD NORTHERN BV,1899|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
076-0002-0281-00,19 1 W COURT ST,19|1|W|COURT|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
076-0002-0283-00,19 3 W COURT ST,19|3|W|COURT|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
076-0002-0284-00,19 4 W COURT ST,19|4|W|COURT|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
561-0012-0378-00,190 G7 TIMEPIECE LN,190|G7|TIMEPIECE|LN|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
132-0003-0345-00,1900 1902 LINN ST,1900|1902|LINN|ST|_EOS_,AddressNumber|AddressNumber|StreetName|StreetNamePostType|EOS
201-0041-0088-00,1900 WESTWOOD NORTHERN BV,1900|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
087-0004-0267-00,1901 1914 BIGELOW ST,1901|1914|BIGELOW|ST|_EOS_,AddressNumber|AddressNumber|StreetName|StreetNamePostType|EOS
651-0045-0129-00,1902 1904 MAPLE AVE,1902|1904|MAPLE|AVE|_EOS_,AddressNumber|AddressNumber|StreetName|StreetNamePostType|EOS
600-0360-0135-00,1907 4-2 CHAUCER DR,1907|4-2|CHAUCER|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
651-0053-0053-00,1908 1910 DELAWARE AVE,1908|1910|DELAWARE|AVE|_EOS_,AddressNumber|AddressNumber|StreetName|StreetNamePostType|EOS
561-0012-0412-00,191 G2 TIMEPIECE LN,191|G2|TIMEPIECE|LN|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
054-0003-0007-00,1915 1917 HEWITT AVE,1915|1917|HEWITT|AVE|_EOS_,AddressNumber|AddressNumber|StreetName|StreetNamePostType|EOS
203-0026-0093-00,1926 1928 QUEEN CITY AVE,1926|1928|QUEEN|CITY|AVE|_EOS_,AddressNumber|AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
201-0041-0133-00,1946 WESTWOOD NORTHERN BV,1946|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
201-0041-0129-00,1956 62 WESTWOOD NORTHERN BV,1956|62|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetName|StreetNamePostType|EOS
201-0041-0095-00,1964 WESTWOOD NORTHERN BV,1964|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
206-0001-0169-00,1978 WESTWOOD NORTHERN BV,1978|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
206-0001-0170-00,1980 WESTWOOD NORTHERN BV,1980|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
206-0001-0171-00,1982 WESTWOOD NORTHERN BV,1982|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
206-0001-0172-00,1984 WESTWOOD NORTHERN BV,1984|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
206-0001-0035-00,1990 WESTWOOD NORTHERN BV,1990|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
591-0026-0017-00,1995 1997 WAYCROSS RD,1995|1997|WAYCROSS|RD|_EOS_,AddressNumber|AddressNumber|StreetName|StreetNamePostType|EOS
573-0007-0020-00,2 3D STONEHAVEN DR,2|3D|STONEHAVEN|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
094-0008-0386-00,20 1 W ELDER ST,20|1|W|ELDER|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
081-0004-0311-00,20 102 W TWELFTH ST,20|102|W|TWELFTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
094-0008-0387-00,20 2 W ELDER ST,20|2|W|ELDER|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
081-0004-0318-00,20 203 W TWELFTH ST,20|203|W|TWELFTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
081-0004-0319-00,20 301 W TWELFTH ST,20|301|W|TWELFTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
081-0004-0324-00,20 402 W TWELFTH ST,20|402|W|TWELFTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
081-0004-0325-00,20 403 W TWELFTH ST,20|403|W|TWELFTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
080-0001-0259-00,20 B3 E FIFTEENTH ST,20|B3|E|FIFTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
081-0002-0430-00,200 1 W FOURTEENTH ST,200|1|W|FOURTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
081-0002-0431-00,200 2 W FOURTEENTH ST,200|2|W|FOURTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
081-0002-0432-00,200 3 W FOURTEENTH ST,200|3|W|FOURTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
081-0002-0433-00,200 4 W FOURTEENTH ST,200|4|W|FOURTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
651-0013-0067-00,2000 JOSEPH E SANKER BV,2000|JOSEPH|E|SANKER|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetName|StreetNamePostType|EOS
206-0001-0034-00,2000 WESTWOOD NORTHERN BV,2000|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
550-0140-0037-00,2001 2045 ANDERSON FERRY RD,2001|2045|ANDERSON|FERRY|RD|_EOS_,AddressNumber|AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
641-0004-0138-00,201 209 N WAYNE AV,201|209|N|WAYNE|AV|_EOS_,AddressNumber|AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
081-0004-0316-00,20-22 202A W TWELFTH ST,20-22|202A|W|TWELFTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
092-0003-0298-00,203 1A E UNIVERSITY AVE,203|1A|E|UNIVERSITY|AVE|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
092-0003-0299-00,203 2A E UNIVERSITY AVE,203|2A|E|UNIVERSITY|AVE|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
092-0003-0300-00,203 3A E UNIVERSITY AVE,203|3A|E|UNIVERSITY|AVE|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
092-0003-0301-00,203 4A E UNIVERSITY AVE,203|4A|E|UNIVERSITY|AVE|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
092-0003-0302-00,203 5A E UNIVERSITY AVE,203|5A|E|UNIVERSITY|AVE|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
117-0003-0301-00,2033 31B E SEYMOUR AVE,2033|31B|E|SEYMOUR|AVE|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
054-0003-0043-00,2043 2045 HEWITT AVE,2043|2045|HEWITT|AVE|_EOS_,AddressNumber|AddressNumber|StreetName|StreetNamePostType|EOS
092-0003-0307-00,207 10A E UNIVERSITY AVE,207|10A|E|UNIVERSITY|AVE|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
092-0003-0308-00,207 11A E UNIVERSITY AVE,207|11A|E|UNIVERSITY|AVE|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
092-0003-0303-00,207 6A E UNIVERSITY AVE,207|6A|E|UNIVERSITY|AVE|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
092-0003-0304-00,207 7A E UNIVERSITY AVE,207|7A|E|UNIVERSITY|AVE|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
092-0003-0305-00,207 8A E UNIVERSITY AVE,207|8A|E|UNIVERSITY|AVE|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
092-0003-0306-00,207 9A E UNIVERSITY AVE,207|9A|E|UNIVERSITY|AVE|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
092-0003-0318-00,210 1C FOSDICK ST,210|1C|FOSDICK|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
092-0003-0319-00,210 2C FOSDICK ST,210|2C|FOSDICK|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
621-0024-0079-00,210 310 CARRINGTON PL,210|310|CARRINGTON|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
092-0003-0320-00,210 3C FOSDICK ST,210|3C|FOSDICK|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
092-0003-0321-00,210 4C FOSDICK ST,210|4C|FOSDICK|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
075-0004-0383-00,211 B1 WOODWARD ST,211|B1|WOODWARD|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
069-0003-0272-00,2121 1103 ALPINE PL,2121|1103|ALPINE|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
069-0003-0273-00,2121 1104 ALPINE PL,2121|1104|ALPINE|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
069-0003-0279-00,2121 1402 ALPINE PL,2121|1402|ALPINE|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
069-0003-0280-00,2121 1403 ALPINE PL,2121|1403|ALPINE|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
069-0003-0284-00,2121 1503 ALPINE PL,2121|1503|ALPINE|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
206-0001-0002-00,2128 WESTWOOD NORTHERN BV,2128|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
075-0004-0384-00,213 A1 WOODWARD ST,213|A1|WOODWARD|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0001-0152-00,2135 A2 RIVERSIDE DR,2135|A2|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
651-0039-0202-00,2136 2138 CLENEAY AVE,2136|2138|CLENEAY|AVE|_EOS_,AddressNumber|AddressNumber|StreetName|StreetNamePostType|EOS
032-0001-0153-00,2137 A3 RIVERSIDE DR,2137|A3|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0001-0154-00,2139 A4 RIVERSIDE DR,2139|A4|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
075-0004-0325-00,214 2A E FOURTEENTH ST,214|2A|E|FOURTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
075-0004-0326-00,214 3A E FOURTEENTH ST,214|3A|E|FOURTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
075-0004-0327-00,214 4A E FOURTEENTH ST,214|4A|E|FOURTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
075-0004-0328-00,214 5A E FOURTEENTH ST,214|5A|E|FOURTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
032-0001-0155-00,2141 A5 RIVERSIDE DR,2141|A5|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
046-0001-0009-00,2143 2145 MADISON RD,2143|2145|MADISON|RD|_EOS_,AddressNumber|AddressNumber|StreetName|StreetNamePostType|EOS
032-0006-0145-00,2143 B-1 RIVERSIDE DR,2143|B-1|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0006-0146-00,2145 B-2 RIVERSIDE DR,2145|B-2|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0006-0147-00,2147 B-3 RIVERSIDE DR,2147|B-3|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0006-0148-00,2149 B-4 RIVERSIDE DR,2149|B-4|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
075-0004-0385-00,215 B2 WOODWARD ST,215|B2|WOODWARD|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
069-0003-0002-00,2154 2156 SINTON AVE,2154|2156|SINTON|AVE|_EOS_,AddressNumber|AddressNumber|StreetName|StreetNamePostType|EOS
206-0001-0235-00,2157 WESTWOOD NORTHERN BV,2157|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
206-0001-0177-00,2167 WESTWOOD NORTHERN BV,2167|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
206-0001-0178-00,2171 WESTWOOD NORTHERN BV,2171|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
206-0001-0179-00,2175 WESTWOOD NORTHERN BV,2175|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
206-0001-0180-00,2179 WESTWOOD NORTHERN BV,2179|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
206-0001-0181-00,2183 WESTWOOD NORTHERN BV,2183|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
206-0001-0182-00,2187 WESTWOOD NORTHERN BV,2187|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
206-0001-0183-00,2191 WESTWOOD NORTHERN BV,2191|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
206-0001-0184-00,2195 WESTWOOD NORTHERN BV,2195|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
206-0001-0185-00,2199 WESTWOOD NORTHERN BV,2199|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
573-0007-0013-00,22 1D STONEHAVEN DR,22|1D|STONEHAVEN|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
077-0003-0066-00,22 24 W SEVENTH ST,22|24|W|SEVENTH|ST|_EOS_,AddressNumber|AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS
621-0024-0091-00,220 310 CARRINGTON PL,220|310|CARRINGTON|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0252-00,2200 1001 VICTORY PW,2200|1001|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0253-00,2200 1002 VICTORY PW,2200|1002|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0254-00,2200 1003 VICTORY PW,2200|1003|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0255-00,2200 1004 VICTORY PW,2200|1004|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0257-00,2200 1006 VICTORY PW,2200|1006|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0258-00,2200 1007 VICTORY PW,2200|1007|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0259-00,2200 1008 VICTORY PW,2200|1008|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0260-00,2200 1009 VICTORY PW,2200|1009|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0397-00,2200 1010 VICTORY PW,2200|1010|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0262-00,2200 1101 VICTORY PW,2200|1101|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0263-00,2200 1102 VICTORY PW,2200|1102|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0264-00,2200 1103 VICTORY PW,2200|1103|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0265-00,2200 1104 VICTORY PW,2200|1104|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0266-00,2200 1105 VICTORY PW,2200|1105|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0267-00,2200 1106 VICTORY PW,2200|1106|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0268-00,2200 1107 VICTORY PW,2200|1107|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0269-00,2200 1108 VICTORY PW,2200|1108|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0270-00,2200 1201 VICTORY PW,2200|1201|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0271-00,2200 1202 VICTORY PW,2200|1202|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0272-00,2200 1203 VICTORY PW,2200|1203|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0273-00,2200 1204 VICTORY PW,2200|1204|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0274-00,2200 1205 VICTORY PW,2200|1205|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0275-00,2200 1206 VICTORY PW,2200|1206|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0276-00,2200 1207 VICTORY PW,2200|1207|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0277-00,2200 1208 VICTORY PW,2200|1208|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0278-00,2200 1401 VICTORY PW,2200|1401|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0279-00,2200 1402 VICTORY PW,2200|1402|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0280-00,2200 1403 VICTORY PW,2200|1403|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0281-00,2200 1404 VICTORY PW,2200|1404|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0282-00,2200 1405 VICTORY PW,2200|1405|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0283-00,2200 1406 VICTORY PW,2200|1406|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0284-00,2200 1407 VICTORY PW,2200|1407|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0285-00,2200 1408 VICTORY PW,2200|1408|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0287-00,2200 1503 VICTORY PW,2200|1503|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0289-00,2200 1505 VICTORY PW,2200|1505|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0290-00,2200 1506 VICTORY PW,2200|1506|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0292-00,2200 1601 VICTORY PW,2200|1601|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0293-00,2200 1602 VICTORY PW,2200|1602|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0294-00,2200 1603 VICTORY PW,2200|1603|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0295-00,2200 1604 VICTORY PW,2200|1604|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0296-00,2200 1605 VICTORY PW,2200|1605|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0297-00,2200 1606 VICTORY PW,2200|1606|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0298-00,2200 1607 VICTORY PW,2200|1607|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0299-00,2200 1608 VICTORY PW,2200|1608|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0300-00,2200 1701 VICTORY PW,2200|1701|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0301-00,2200 1702 VICTORY PW,2200|1702|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0302-00,2200 1703 VICTORY PW,2200|1703|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0303-00,2200 1704 VICTORY PW,2200|1704|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0304-00,2200 1705 VICTORY PW,2200|1705|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0305-00,2200 1706 VICTORY PW,2200|1706|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0306-00,2200 1707 VICTORY PW,2200|1707|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0307-00,2200 1708 VICTORY PW,2200|1708|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0308-00,2200 1801 VICTORY PW,2200|1801|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0309-00,2200 1802 VICTORY PW,2200|1802|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0310-00,2200 1803 VICTORY PW,2200|1803|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0311-00,2200 1804 VICTORY PW,2200|1804|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0312-00,2200 1805 VICTORY PW,2200|1805|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0313-00,2200 1806 VICTORY PW,2200|1806|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0314-00,2200 1807 VICTORY PW,2200|1807|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0315-00,2200 1808 VICTORY PW,2200|1808|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0316-00,2200 1901 VICTORY PW,2200|1901|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0317-00,2200 1902 VICTORY PW,2200|1902|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0318-00,2200 1903 VICTORY PW,2200|1903|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0319-00,2200 1904 VICTORY PW,2200|1904|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
063-0004-0320-00,2200 1905 VICTORY PW,2200|1905|VICTORY|PW|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
