parcel_number,address,tokens,tags,
046-0001-0009-00,2143 2145 MADISON RD,2143|2145|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
032-0006-0146-00,2145 B-2 RIVERSIDE DR,2145|B-2|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
096-0003-0113-00,2145 CENTRAL PKWY,2145|CENTRAL|PKWY|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
075-0004-0385-00,215 B2 WOODWARD ST,215|B2|WOODWARD|ST|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
069-0003-0002-00,2154 2156 SINTON AVE,2154|2156|SINTON|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
206-0001-0235-00,2157 WESTWOOD NORTHERN BV,2157|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
206-0001-0177-00,2167 WESTWOOD NORTHERN BV,2167|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
206-0001-0178-00,2171 WESTWOOD NORTHERN BV,2171|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
206-0001-0179-00,2175 WESTWOOD NORTHERN BV,2175|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
206-0001-0180-00,2179 WESTWOOD NORTHERN BV,2179|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
206-0001-0181-00,2183 WESTWOOD NORTHERN BV,2183|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
206-0001-0182-00,2187 WESTWOOD NORTHERN BV,2187|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
206-0001-0183-00,2191 WESTWOOD NORTHERN BV,2191|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
206-0001-0184-00,2195 WESTWOOD NORTHERN BV,2195|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
206-0001-0185-00,2199 WESTWOOD NORTHERN BV,2199|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
032-0006-0133-00,2201 C1 RIVERSIDE DR,2201|C1|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
206-0001-0186-00,2203 WESTWOOD NORTHERN BV,2203|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
032-0006-0135-00,2205 C3 RIVERSIDE DR,2205|C3|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0006-0136-00,2207 C4 RIVERSIDE DR,2207|C4|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
206-0001-0187-00,2207 WESTWOOD NORTHERN BV,2207|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
032-0006-0137-00,2209 C5 RIVERSIDE DR,2209|C5|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0006-0138-00,2211 C6 RIVERSIDE DR,2211|C6|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0006-0139-00,2215 D1 RIVERSIDE DR,2215|D1|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0006-0140-00,2217 D2 RIVERSIDE DR,2217|D2|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0006-0141-00,2219 D3 RIVERSIDE DR,2219|D3|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
206-0001-0190-00,2219 WESTWOOD NORTHERN BV,2219|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
206-0001-0001-00,2220 WESTWOOD NORTHERN BV,2220|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
032-0006-0142-00,2221 D4 RIVERSIDE DR,2221|D4|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0006-0143-00,2223 D5 RIVERSIDE DR,2223|D5|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
206-0001-0191-00,2223 WESTWOOD NORTHERN BV,2223|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
032-0006-0144-00,2225 D6 RIVERSIDE DR,2225|D6|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
206-0001-0203-00,2227 WESTWOOD NORTHERN BV,2227|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
206-0010-0022-00,2227 WESTWOOD NORTHERN BV,2227|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
206-0001-0192-00,2231 WESTWOOD NORTHERN BV,2231|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
032-0006-0185-00,2233 1A RIVERSIDE DR,2233|1A|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0006-0186-00,2233 1B RIVERSIDE DR,2233|1B|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0006-0187-00,2233 1C RIVERSIDE DR,2233|1C|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0006-0188-00,2233 2A RIVERSIDE DR,2233|2A|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0006-0189-00,2233 2B RIVERSIDE DR,2233|2B|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0006-0190-00,2233 2C RIVERSIDE DR,2233|2C|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0006-0191-00,2233 2D RIVERSIDE DR,2233|2D|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0006-0192-00,2233 3A RIVERSIDE DR,2233|3A|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0006-0193-00,2233 3B RIVERSIDE DR,2233|3B|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0006-0194-00,2233 3C RIVERSIDE DR,2233|3C|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0006-0195-00,2233 3D RIVERSIDE DR,2233|3D|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0006-0196-00,2233 4A RIVERSIDE DR,2233|4A|RIVERSIDE|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
104-0004-0367-00,226 #1A E ROCHELLE ST,226|#1A|E|ROCHELLE|ST|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
104-0004-0369-00,226 #2A E ROCHELLE ST,226|#2A|E|ROCHELLE|ST|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
104-0004-0372-00,226 #4A E ROCHELLE ST,226|#4A|E|ROCHELLE|ST|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
224-0006-0164-00,2264 WESTWOOD NORTHERN BV,2264|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
224-0006-0159-00,2270 WESTWOOD NORTHERN BV,2270|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
224-0006-0178-00,2275 WESTWOOD NORTHERN BV,2275|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
224-0006-0018-00,2279 WESTWOOD NORTHERN BV,2279|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
224-0006-0050-00,2280 WESTWOOD NORTHERN BV,2280|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
224-0006-0162-00,2291 WESTWOOD NORTHERN BV,2291|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
224-0006-0161-00,2296 WESTWOOD NORTHERN BV,2296|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
224-0006-0160-00,2302 WESTWOOD NORTHERN BV,2302|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
651-0016-0046-00,2308 2312 HARPER AVE,2308|2312|HARPER|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
224-0006-0163-00,2308 WESTWOOD NORTHERN BV,2308|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
248-0002-0034-00,2312 2314 FERGUSON RD,2312|2314|FERGUSON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
651-0031-0371-00,2312 2314 JEFFERSON AVE,2312|2314|JEFFERSON|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
528-0004-0285-00,2314 2316 LOSANTIVILLE AVE,2314|2316|LOSANTIVILLE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
224-0006-0153-00,2314 WESTWOOD NORTHERN BV,2314|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
224-0006-0156-00,2320 WESTWOOD NORTHERN BV,2320|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0104-00,2324 1003 MADISON RD,2324|1003|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0106-00,2324 1005 MADISON RD,2324|1005|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0107-00,2324 1006 MADISON RD,2324|1006|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0108-00,2324 1007 MADISON RD,2324|1007|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0109-00,2324 1008 MADISON RD,2324|1008|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0111-00,2324 1101 MADISON RD,2324|1101|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0114-00,2324 1104 MADISON RD,2324|1104|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0125-00,2324 1205 MADISON RD,2324|1205|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0132-00,2324 1402 MADISON RD,2324|1402|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0133-00,2324 1403 MADISON RD,2324|1403|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0134-00,2324 1404 MADISON RD,2324|1404|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0135-00,2324 1405 MADISON RD,2324|1405|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0139-00,2324 1409 MADISON RD,2324|1409|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0141-00,2324 1501 MADISON RD,2324|1501|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0144-00,2324 1504 MADISON RD,2324|1504|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0152-00,2324 1602 MADISON RD,2324|1602|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0158-00,2324 1608 MADISON RD,2324|1608|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0162-00,2324 1702 MADISON RD,2324|1702|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0165-00,2324 1705 MADISON RD,2324|1705|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0173-00,2324 1804 MADISON RD,2324|1804|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0181-00,2324 1904 MADISON RD,2324|1904|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0193-00,2324 2007 MADISON RD,2324|2007|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
053-0001-0194-00,2324 2008 MADISON RD,2324|2008|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0137-00,2401 1A INGLESIDE AVE,2401|1A|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0138-00,2401 1B INGLESIDE AVE,2401|1B|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0139-00,2401 1C INGLESIDE AVE,2401|1C|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0140-00,2401 2A INGLESIDE AVE,2401|2A|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0141-00,2401 2B INGLESIDE AVE,2401|2B|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0142-00,2401 2C INGLESIDE AVE,2401|2C|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0143-00,2401 2D INGLESIDE AVE,2401|2D|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0144-00,2401 2E INGLESIDE AVE,2401|2E|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0145-00,2401 3A INGLESIDE AVE,2401|3A|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0146-00,2401 3B INGLESIDE AVE,2401|3B|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0147-00,2401 3C INGLESIDE AVE,2401|3C|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0148-00,2401 3D INGLESIDE AVE,2401|3D|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0149-00,2401 3E INGLESIDE AVE,2401|3E|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0151-00,2401 4B INGLESIDE AVE,2401|4B|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0152-00,2401 4C INGLESIDE AVE,2401|4C|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0153-00,2401 4D INGLESIDE AVE,2401|4D|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0154-00,2401 4E INGLESIDE AVE,2401|4E|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0155-00,2401 5A INGLESIDE AVE,2401|5A|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0156-00,2401 5B INGLESIDE AVE,2401|5B|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0157-00,2401 5C INGLESIDE AVE,2401|5C|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0158-00,2401 5D INGLESIDE AVE,2401|5D|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0159-00,2401 5E INGLESIDE AVE,2401|5E|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0160-00,2401 6A INGLESIDE AVE,2401|6A|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0161-00,2401 6B INGLESIDE AVE,2401|6B|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0162-00,2401 6C INGLESIDE AVE,2401|6C|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0163-00,2401 6D INGLESIDE AVE,2401|6D|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0164-00,2401 6E INGLESIDE AVE,2401|6E|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0166-00,2401 7B INGLESIDE AVE,2401|7B|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0167-00,2401 7C INGLESIDE AVE,2401|7C|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0168-00,2401 7D INGLESIDE AVE,2401|7D|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0169-00,2401 7E INGLESIDE AVE,2401|7E|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0171-00,2401 8B INGLESIDE AVE,2401|8B|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0172-00,2401 8C INGLESIDE AVE,2401|8C|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0173-00,2401 8D INGLESIDE AVE,2401|8D|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0174-00,2401 8E INGLESIDE AVE,2401|8E|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0175-00,2401 9A INGLESIDE AVE,2401|9A|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0176-00,2401 9B INGLESIDE AVE,2401|9B|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0177-00,2401 9C INGLESIDE AVE,2401|9C|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0178-00,2401 9D INGLESIDE AVE,2401|9D|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0179-00,2401 9E INGLESIDE AVE,2401|9E|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
224-0006-0122-00,2404 WESTWOOD NORTHERN BV,2404|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
224-0006-0120-00,2408 WESTWOOD NORTHERN BV,2408|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0207-00,2412 1A INGLESIDE AVE,2412|1A|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0208-00,2412 1B INGLESIDE AVE,2412|1B|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0209-00,2412 1C INGLESIDE AVE,2412|1C|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0210-00,2412 1D INGLESIDE AVE,2412|1D|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0211-00,2412 2A INGLESIDE AVE,2412|2A|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0212-00,2412 2B INGLESIDE AVE,2412|2B|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0213-00,2412 2C INGLESIDE AVE,2412|2C|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0214-00,2412 2D INGLESIDE AVE,2412|2D|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0215-00,2412 3A INGLESIDE AVE,2412|3A|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0216-00,2412 3B INGLESIDE AVE,2412|3B|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0217-00,2412 3C INGLESIDE AVE,2412|3C|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0218-00,2412 3D INGLESIDE AVE,2412|3D|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0219-00,2412 4A INGLESIDE AVE,2412|4A|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0221-00,2412 4C INGLESIDE AVE,2412|4C|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0222-00,2412 4D INGLESIDE AVE,2412|4D|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0229-00,2412 6C INGLESIDE AVE,2412|6C|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
064-0003-0231-00,2412 7A INGLESIDE AVE,2412|7A|INGLESIDE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
224-0006-0066-00,2416 WESTWOOD NORTHERN BV,2416|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
561-0029-0048-00,2423 2425 BARTRAM LN,2423|2425|BARTRAM|LN|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
224-0006-0157-00,2424 WESTWOOD NORTHERN BV,2424|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
224-0006-0168-00,2424 WESTWOOD NORTHERN BV,2424|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
561-0029-0047-00,2429 2431 BARTRAM LN,2429|2431|BARTRAM|LN|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
561-0029-0049-00,2430 2434 BARTRAM LN,2430|2434|BARTRAM|LN|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
561-0029-0046-00,2433 2435 BARTRAM LN,2433|2435|BARTRAM|LN|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
209-0004-0102-00,2436 WESTWOOD NORTHERN BV,2436|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
561-0029-0045-00,2437 2439 BARTRAM LN,2437|2439|BARTRAM|LN|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
209-0004-0009-00,2438 WESTWOOD NORTHERN BV,2438|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
209-0004-0104-00,2440 WESTWOOD NORTHERN BV,2440|WESTWOOD|NORTHERN|BV|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
561-0029-0044-00,2441 2443 BARTRAM LN,2441|2443|BARTRAM|LN|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0148-00,2444 1002 MADISON RD,2444|1002|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0153-00,2444 1007 MADISON RD,2444|1007|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0162-00,2444 1104 MADISON RD,2444|1104|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0163-00,2444 1105 MADISON RD,2444|1105|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0164-00,2444 1106 MADISON RD,2444|1106|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0167-00,2444 1109 MADISON RD,2444|1109|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0169-00,2444 1111 MADISON RD,2444|1111|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0171-00,2444 1201 MADISON RD,2444|1201|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0172-00,2444 1202 MADISON RD,2444|1202|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0173-00,2444 1203 MADISON RD,2444|1203|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0174-00,2444 1204 MADISON RD,2444|1204|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0175-00,2444 1205 MADISON RD,2444|1205|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0187-00,2444 1405 MADISON RD,2444|1405|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0188-00,2444 1406 MADISON RD,2444|1406|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0195-00,2444 1501 MADISON RD,2444|1501|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0196-00,2444 1502 MADISON RD,2444|1502|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0198-00,2444 1504 MADISON RD,2444|1504|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0200-00,2444 1506 MADISON RD,2444|1506|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0201-00,2444 1507 MADISON RD,2444|1507|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0205-00,2444 1511 MADISON RD,2444|1511|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0220-00,2444 1702 MADISON RD,2444|1702|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0221-00,2444 1703 MADISON RD,2444|1703|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0222-00,2444 1704 MADISON RD,2444|1704|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
042-0009-0223-00,2444 1705 MADISON RD,2444|1705|MADISON|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
